"","area","year","est","lwr","upr","se","coord","type"
"96","OR",2010,365.654541614661,361.826217770222,369.482865459099,1.95326234289789,"X","cog"
"97","OR",2011,366.554035989296,362.480726024878,370.627345953715,2.07825755807151,"X","cog"
"98","OR",2012,365.83492072269,361.953804252581,369.716037192798,1.98019785094117,"X","cog"
"99","OR",2013,365.639523742374,361.551599383486,369.727448101262,2.08571401879473,"X","cog"
"100","OR",2014,364.836995669208,360.976428414992,368.697562923423,1.96971336446335,"X","cog"
"101","OR",2015,365.433812463607,361.432167239515,369.435457687699,2.04169324317002,"X","cog"
"102","OR",2016,365.638056599334,361.499935808454,369.776177390215,2.11132491388695,"X","cog"
"103","OR",2017,365.770740920495,361.710483276873,369.830998564117,2.07159808835725,"X","cog"
"104","OR",2018,365.0191231481,361.070030740696,368.968215555504,2.01488008889672,"X","cog"
"105","OR",2019,367.263741761002,362.82701852755,371.700464994454,2.26367589835728,"X","cog"
"106","OR",2021,364.813167644959,360.601197364459,369.025137925459,2.14900391727785,"X","cog"
"107","OR",2022,363.320441679095,359.206543033834,367.434340324356,2.09896644923614,"X","cog"
"108","OR",2023,365.215460374516,361.078476126488,369.352444622544,2.11074503442909,"X","cog"
"109","OR",2024,366.330682497924,362.12574104325,370.535623952598,2.1454177157549,"X","cog"
"110","OR",2025,365.109525771285,361.167379824087,369.051671718483,2.0113359114215,"X","cog"
"111","OR",2003,4928.58060027739,4904.5840678177,4952.57713273708,12.2433537804621,"Y","cog"
"112","OR",2004,4915.54555168013,4889.00709171975,4942.08401164051,13.5402793978422,"Y","cog"
"113","OR",2005,4927.26698990197,4902.54525064831,4951.98872915563,12.6133640457992,"Y","cog"
"114","OR",2006,4926.06322448216,4901.62207647407,4950.50437249025,12.4702026164139,"Y","cog"
"115","OR",2007,4925.59177141533,4900.84008413123,4950.34345869942,12.6286439339369,"Y","cog"
"116","OR",2008,4925.50463587202,4900.92034792198,4950.08892382207,12.5432345410244,"Y","cog"
"117","OR",2009,4926.40934665454,4901.26149688213,4951.55719642695,12.8307713666038,"Y","cog"
"118","OR",2010,4923.73760344113,4897.85849938003,4949.61670750224,13.2038671451295,"Y","cog"
"119","OR",2011,4924.72982938558,4899.37355702931,4950.08610174186,12.9371113736169,"Y","cog"
"120","OR",2012,4918.36915065303,4893.15927055795,4943.57903074811,12.8624200719658,"Y","cog"
"121","OR",2013,4928.43644161309,4903.98835648695,4952.88452673923,12.4737420273953,"Y","cog"
"122","OR",2014,4914.56557153414,4886.97255241149,4942.15859065678,14.0783296735521,"Y","cog"
"123","OR",2015,4918.44412905168,4892.71194575856,4944.1763123448,13.1289061922026,"Y","cog"
"124","OR",2016,4932.66707828366,4909.80518562878,4955.52897093854,11.6644452832854,"Y","cog"
"125","OR",2017,4932.4541496075,4908.00804411786,4956.90025509715,12.4727319902173,"Y","cog"
"126","OR",2018,4924.14360974408,4900.87788329129,4947.40933619686,11.8704867213385,"Y","cog"
"127","OR",2019,4936.61221553526,4911.21116778172,4962.0132632888,12.9599563838416,"Y","cog"
"128","OR",2021,4926.67211663725,4902.28447405456,4951.05975921994,12.442903428356,"Y","cog"
"129","OR",2022,4918.72763153417,4892.82454511603,4944.63071795231,13.2161032664171,"Y","cog"
"130","OR",2023,4924.37414625255,4899.95268315564,4948.79560934946,12.4601591098327,"Y","cog"
"131","OR",2024,4928.34344123313,4904.58648655631,4952.10039590995,12.1211179716648,"Y","cog"
"132","OR",2025,4919.73350365416,4895.33553593639,4944.13147137193,12.4481714512207,"Y","cog"
