"area","year","est","lwr","upr","log_est","se","se_natural","type"
"Coastwide",2006,20197.6672218589,17090.4186639622,23869.851829035,9.91332239265411,0.0852307086066211,20197.6672218589,"index"
"Coastwide",2007,17369.4237154082,14749.7455479724,20454.3786348137,9.76246668167892,0.0834125383600051,17369.4237154082,"index"
"Coastwide",2008,15826.3215187685,13437.1543423771,18640.2899329298,9.66942975182076,0.0834968866420192,15826.3215187685,"index"
"Coastwide",2009,15784.7401677307,13481.6483960383,18481.2728268442,9.66679894014902,0.0804679472838929,15784.7401677307,"index"
"Coastwide",2010,24009.9722213106,20702.0397924521,27846.4717413155,10.0862245322513,0.0756325209665921,24009.9722213106,"index"
"Coastwide",2011,31573.2831996249,27247.2262799733,36586.1905267187,10.3600665735987,0.0751848338751819,31573.2831996249,"index"
"Coastwide",2012,36545.9994915988,31415.0930909728,42514.9171123651,10.5063270061533,0.0771867642716036,36545.9994915988,"index"
"Coastwide",2013,54783.1863143146,45946.498327641,65319.3956446385,10.9111386067757,0.0897494491878903,54783.1863143146,"index"
"Coastwide",2014,55936.7583940943,48465.4049899771,64559.8843192655,10.9319770171701,0.0731500655471551,55936.7583940943,"index"
"Coastwide",2015,51165.2823367407,44151.0639918415,59293.8398286876,10.8428165016673,0.0752280131742835,51165.2823367407,"index"
"Coastwide",2016,58270.0896385372,50215.7267428357,67616.3339001676,10.9728441984668,0.0758996906540255,58270.0896385372,"index"
"Coastwide",2017,59998.8809053251,51702.5100124034,69626.5173398308,11.0020811894524,0.0759297526614225,59998.8809053251,"index"
"Coastwide",2018,40851.5003369289,35004.2024765931,47675.5635525203,10.6176988275679,0.0788154398565149,40851.500336929,"index"
"Coastwide",2019,43707.1548114704,35488.3500613588,53829.3659302542,10.685267093345,0.106281207547162,43707.1548114704,"index"
"Coastwide",2021,50085.4430624772,43026.9597048727,58301.8559519685,10.8214856872177,0.0775032196116659,50085.4430624771,"index"
"Coastwide",2022,50518.6271788196,43081.0019444044,59240.3049336243,10.8300974022793,0.0812566020463858,50518.6271788197,"index"
"Coastwide",2023,48685.4371684116,41623.3391516362,56945.7386310194,10.7931352329024,0.0799600951409678,48685.4371684116,"index"
"Coastwide",2024,42448.1509730845,36415.8704662757,49479.6773484364,10.6560386330307,0.0782048414232963,42448.1509730845,"index"
"Coastwide",2025,62565.537821627,53802.7446194981,72755.5174107389,11.0439698914682,0.0769861755508971,62565.537821627,"index"
"WA",2003,4248.80667466633,3351.83652837671,5385.81103399808,8.35439344006024,0.120986788482834,4248.80667466632,"index"
"WA",2004,5062.2077269924,4002.72932000724,6402.11841033889,8.52955797680841,0.119811507373672,5062.20772699241,"index"
"WA",2005,4827.80302694684,3798.2863190424,6136.3678536149,8.48214678332112,0.122370364908994,4827.80302694684,"index"
"WA",2006,4298.42429564245,3342.58302434119,5527.59685872302,8.36600379165121,0.128321053841962,4298.42429564245,"index"
"WA",2007,3468.32284490932,2734.73551988245,4398.69350036343,8.151426426102,0.121245298306631,3468.32284490933,"index"
"WA",2008,3277.95656189951,2565.46013021882,4188.3321807007,8.09497550781253,0.125044327461834,3277.95656189951,"index"
"WA",2009,3493.32682109619,2755.41071461898,4428.86144495431,8.15860980501516,0.121067538329589,3493.32682109619,"index"
"WA",2010,5626.2335478512,4521.01640755029,7001.63438515772,8.63519550042623,0.111585409567335,5626.23354785121,"index"
"WA",2011,7582.41233372334,6094.5534489117,9433.50112203319,8.93358667783726,0.111448937571682,7582.41233372334,"index"
"WA",2012,8396.47920091174,6663.47700568302,10580.1915293196,9.03556775421793,0.117946582597547,8396.47920091173,"index"
"WA",2013,13159.2791993273,10340.6637483062,16746.1812182234,9.48488243129167,0.122983429745719,13159.2791993273,"index"
"WA",2014,13825.065102746,11186.1579881612,17086.5122142427,9.53423853543883,0.108066341058938,13825.065102746,"index"
"WA",2015,12172.0851360127,9951.03387352445,14888.8706883547,9.40690050540686,0.102792079525157,12172.0851360128,"index"
