"","area","year","est","lwr","upr","se","coord","type"
"66","WA",2025,360.633435253685,355.429708811957,365.837161695414,2.65501125672454,"X","cog"
"67","WA",2003,5236.7443548047,5221.54511757863,5251.94359203078,7.75485536773513,"Y","cog"
"68","WA",2004,5238.02369382517,5223.15603419055,5252.8913534598,7.58568001856291,"Y","cog"
"69","WA",2005,5237.12711374602,5221.48156994431,5252.77265754773,7.98256698853561,"Y","cog"
"70","WA",2006,5232.59398322799,5215.23816838892,5249.94979806706,8.85517028678541,"Y","cog"
"71","WA",2007,5231.42753553515,5215.88834786414,5246.96672320615,7.92830265942367,"Y","cog"
"72","WA",2008,5237.05549633864,5220.65770279467,5253.45328988261,8.36637493000696,"Y","cog"
"73","WA",2009,5229.02628936813,5212.47332755129,5245.57925118498,8.44554387091532,"Y","cog"
"74","WA",2010,5231.32145326774,5216.96817540024,5245.67473113523,7.32323551897346,"Y","cog"
"75","WA",2011,5228.00601520754,5212.93085057753,5243.08117983754,7.69155185958446,"Y","cog"
"76","WA",2012,5235.52547973624,5219.82661323165,5251.22434624084,8.00977294910919,"Y","cog"
"77","WA",2013,5243.5406458078,5225.33893952424,5261.74235209136,9.28675548486256,"Y","cog"
"78","WA",2014,5242.1107987562,5224.95741218417,5259.26418532823,8.75188866087905,"Y","cog"
"79","WA",2015,5223.31408314344,5207.40183838679,5239.22632790009,8.11864140472212,"Y","cog"
"80","WA",2016,5234.56425340819,5217.83381535599,5251.29469146039,8.53609463447773,"Y","cog"
"81","WA",2017,5241.56405495069,5224.75970280448,5258.3684070969,8.57380659989848,"Y","cog"
"82","WA",2018,5238.4997448114,5222.91660527633,5254.08288434647,7.95072749192523,"Y","cog"
"83","WA",2019,5239.28142301569,5218.95507150349,5259.60777452788,10.3707780717021,"Y","cog"
"84","WA",2021,5240.19454023541,5223.57395759985,5256.81512287097,8.48004492259297,"Y","cog"
"85","WA",2022,5231.48707198667,5212.18487222246,5250.78927175088,9.848242067949,"Y","cog"
"86","WA",2023,5241.90745945908,5224.8900972731,5258.92482164507,8.68248718865066,"Y","cog"
"87","WA",2024,5244.60794261296,5227.44046259603,5261.7754226299,8.75907932612576,"Y","cog"
"88","WA",2025,5236.76361065201,5218.84062202102,5254.686599283,9.14454998783853,"Y","cog"
"89","OR",2003,363.771393238377,361.681651453925,365.861135022828,1.06621437992495,"X","cog"
"90","OR",2004,364.414576401842,362.152002394647,366.677150409037,1.15439570575877,"X","cog"
"91","OR",2005,364.85701359787,362.629132825812,367.084894369928,1.13669475032782,"X","cog"
"92","OR",2006,365.453542508161,363.427545276475,367.479539739846,1.03369105129817,"X","cog"
"93","OR",2007,363.780435128378,361.976475756539,365.584394500216,0.920404347257557,"X","cog"
"94","OR",2008,365.539849084888,363.617558691469,367.462139478307,0.980778426839299,"X","cog"
"95","OR",2009,364.934957441389,362.877805307287,366.99210957549,1.04958670175997,"X","cog"
"96","OR",2010,365.574065661187,363.446144803322,367.701986519053,1.08569385695377,"X","cog"
"97","OR",2011,367.092021883056,364.75672808222,369.427315683892,1.19149832305921,"X","cog"
"98","OR",2012,363.817995357114,361.943853662689,365.692137051539,0.956212312679058,"X","cog"
"99","OR",2013,364.722865452336,362.361654690677,367.084076213995,1.20472150523364,"X","cog"
"100","OR",2014,365.196890453741,363.153666061792,367.240114845689,1.0424805802886,"X","cog"
"101","OR",2015,365.722978849883,363.498982815157,367.946974884609,1.13471270506432,"X","cog"
"102","OR",2016,367.720160016978,365.615042563902,369.825277470054,1.07405925296628,"X","cog"
"103","OR",2017,365.163539112756,363.052597591207,367.274480634304,1.07703077107504,"X","cog"
"104","OR",2018,365.691762381451,363.633503538004,367.750021224899,1.05015135976109,"X","cog"
"105","OR",2019,364.559591909433,362.024948955355,367.09423486351,1.29320894366967,"X","cog"
"106","OR",2021,364.88118237539,362.752377982712,367.009986768067,1.08614464830428,"X","cog"
"107","OR",2022,365.262000038357,363.062706402939,367.461293673774,1.12210920851858,"X","cog"
"108","OR",2023,365.623829799555,363.259676325309,367.987983273801,1.20622291679563,"X","cog"
"109","OR",2024,364.966836433847,362.855438668629,367.078234199065,1.07726355273502,"X","cog"
"110","OR",2025,363.522035102204,361.491596497072,365.552473707337,1.03595709979801,"X","cog"
"111","OR",2003,4851.32701221618,4832.93132499981,4869.72269943254,9.38572716716718,"Y","cog"
"112","OR",2004,4852.79354697646,4832.40235435687,4873.18473959605,10.4038608772569,"Y","cog"
"113","OR",2005,4853.79249986426,4831.75644337099,4875.82855635753,11.2430925604169,"Y","cog"
"114","OR",2006,4867.31395399923,4848.51318785382,4886.11472014464,9.59240388788143,"Y","cog"
"115","OR",2007,4855.69100781809,4837.83882898787,4873.54318664831,9.10842187460538,"Y","cog"
"116","OR",2008,4870.84419469109,4851.87318514474,4889.81520423745,9.67926436199497,"Y","cog"
"117","OR",2009,4868.14837264792,4850.29672990873,4886.00001538711,9.10814835374586,"Y","cog"
"118","OR",2010,4889.96131558118,4871.69501465465,4908.22761650771,9.3197125409501,"Y","cog"
"119","OR",2011,4890.22533941504,4869.38156700122,4911.06911182887,10.6347731786083,"Y","cog"
"120","OR",2012,4874.98003393091,4857.41165872956,4892.54840913227,8.96362144403145,"Y","cog"
"121","OR",2013,4872.0075797429,4848.23069213831,4895.7844673475,12.1312880196483,"Y","cog"
"122","OR",2014,4871.18253233987,4852.51105177229,4889.85401290746,9.52644064629058,"Y","cog"
"123","OR",2015,4880.31628611811,4860.73839501886,4899.89417721736,9.98890349704177,"Y","cog"
"124","OR",2016,4894.38136097757,4876.55252956066,4912.21019239447,9.09650971014752,"Y","cog"
"125","OR",2017,4869.23774653891,4850.59492214759,4887.88057093022,9.5118198795307,"Y","cog"
"126","OR",2018,4877.01681253986,4858.26534494112,4895.76828013861,9.5672511059647,"Y","cog"
"127","OR",2019,4873.20747842677,4849.79700040649,4896.61795644705,11.9443409189855,"Y","cog"
"128","OR",2021,4870.69497965337,4852.17196656568,4889.21799274106,9.45069054013038,"Y","cog"
"129","OR",2022,4872.65543390531,4853.12960229658,4892.18126551404,9.96234204441881,"Y","cog"
"130","OR",2023,4871.17527961673,4849.59219087904,4892.75836835442,11.011982315969,"Y","cog"
"131","OR",2024,4868.18968403465,4849.24226889014,4887.13709917916,9.6672261806674,"Y","cog"
"132","OR",2025,4856.20573147688,4836.26473623028,4876.14672672348,10.1741641192863,"Y","cog"
"133","CA",2003,535.042172682703,515.91994280251,554.164402562896,9.75641901128131,"X","cog"
"134","CA",2004,542.207678951298,524.097361255165,560.317996647432,9.24012779774792,"X","cog"
"135","CA",2005,526.860464979584,508.032785815724,545.688144143444,9.60613527206125,"X","cog"
"136","CA",2006,540.977050319163,522.809759259466,559.14434137886,9.26919637452436,"X","cog"
"137","CA",2007,547.83401987114,531.081041357296,564.586998384983,8.54759508133248,"X","cog"
"138","CA",2008,526.041611536317,508.338874991291,543.744348081342,9.03217440966372,"X","cog"
"139","CA",2009,545.616503050693,528.190908440798,563.042097660587,8.89077286488181,"X","cog"
"140","CA",2010,547.900019730437,530.24521923528,565.554820225594,9.00771679194911,"X","cog"
"141","CA",2011,540.192162489673,521.703789846602,558.680535132744,9.43301651913259,"X","cog"
"142","CA",2012,543.060206009692,525.642981910228,560.477430109156,8.88650211781891,"X","cog"
"143","CA",2013,548.477938673945,530.061764753927,566.894112593964,9.39617975905843,"X","cog"
"144","CA",2014,543.691786449726,527.04173980873,560.341833090722,8.49507785465941,"X","cog"
"145","CA",2015,535.292732951992,517.276123727625,553.309342176359,9.19231647442492,"X","cog"
"146","CA",2016,542.40911287135,524.879713973173,559.938511769528,8.94373520965032,"X","cog"
"147","CA",2017,538.117237953243,522.60750965053,553.626966255956,7.91327209328928,"X","cog"
"148","CA",2018,540.788697592612,522.878829831734,558.698565353489,9.13785554334055,"X","cog"
"149","CA",2019,540.030376111244,518.766776508567,561.293975713921,10.8489746599435,"X","cog"
"150","CA",2021,531.981287154325,514.97197914197,548.990595166681,8.67837784088004,"X","cog"
"151","CA",2022,536.745646982107,518.894512353033,554.596781611181,9.10788910912736,"X","cog"
"152","CA",2023,532.008173162894,513.684349072579,550.331997253209,9.34906163319877,"X","cog"
"153","CA",2024,540.679019203771,523.376380082455,557.981658325088,8.82803932000664,"X","cog"
"154","CA",2025,540.034201526368,523.156870619081,556.911532433655,8.61104134586818,"X","cog"
"155","CA",2003,4147.23814931722,4108.57312002903,4185.90317860542,19.7274182552236,"Y","cog"
"156","CA",2004,4133.5650331893,4095.54991108848,4171.58015529011,19.3958268624714,"Y","cog"
"157","CA",2005,4167.5290629149,4130.00008239199,4205.05804343781,19.1477908874515,"Y","cog"
"158","CA",2006,4140.8779422146,4102.92217823397,4178.83370619522,19.3655415507694,"Y","cog"
"159","CA",2007,4124.21926620295,4089.21499806915,4159.22353433675,17.8596486516624,"Y","cog"
"160","CA",2008,4168.64820266713,4131.5482466468,4205.74815868746,18.9288968128837,"Y","cog"
"161","CA",2009,4132.79641478491,4097.49868199119,4168.09414757863,18.0093782702871,"Y","cog"
"162","CA",2010,4127.16938438961,4091.27114923871,4163.06761954051,18.3157626538364,"Y","cog"
"163","CA",2011,4140.76713523042,4103.07792185804,4178.4563486028,19.2295438434934,"Y","cog"
"164","CA",2012,4135.29813689409,4099.80573756197,4170.79053622621,18.1086997577896,"Y","cog"
"165","CA",2013,4120.22650014781,4082.68451364611,4157.7684866495,19.1544267128501,"Y","cog"
"166","CA",2014,4128.80115545593,4094.49505839946,4163.10725251241,17.5034323727746,"Y","cog"
"167","CA",2015,4150.05018287942,4112.89965198126,4187.20071377757,18.9547007961357,"Y","cog"
"168","CA",2016,4132.65623189474,4097.44041693863,4167.87204685085,17.9675826871755,"Y","cog"
"169","CA",2017,4141.46094079454,4109.16133984767,4173.76054174142,16.4796910563899,"Y","cog"
"170","CA",2018,4142.69892682845,4105.08320204702,4180.31465160987,19.1920489754562,"Y","cog"
"171","CA",2019,4136.59961754381,4092.93063487023,4180.2686002174,22.2805026102702,"Y","cog"
"172","CA",2021,4153.19751140903,4117.96942548483,4188.42559733324,17.973843500228,"Y","cog"
"173","CA",2022,4151.57676705222,4113.94312535455,4189.21040874988,19.2011904272288,"Y","cog"
"174","CA",2023,4156.60241550466,4118.82611098029,4194.37872002903,19.2739789212184,"Y","cog"
"175","CA",2024,4138.55827697145,4102.5007653316,4174.6157886113,18.39702766187,"Y","cog"
"176","CA",2025,4140.58923743242,4105.3425989359,4175.83587592895,17.9833092722874,"Y","cog"
"177","North of Cape Mendocino",2003,363.066517263791,361.469706678778,364.663327848803,0.814714248633291,"X","cog"
"178","North of Cape Mendocino",2004,362.552161293346,360.648096056123,364.456226530569,0.971479706893708,"X","cog"
"179","North of Cape Mendocino",2005,363.288058999679,361.607689915801,364.968428083558,0.857346919194973,"X","cog"
"180","North of Cape Mendocino",2006,364.01766351744,362.363068691345,365.672258343535,0.844196546031566,"X","cog"
"181","North of Cape Mendocino",2007,363.414858903524,361.92880604254,364.900911764508,0.758204167375478,"X","cog"
"182","North of Cape Mendocino",2008,363.287431796492,361.693037270113,364.881826322872,0.813481543005682,"X","cog"
"183","North of Cape Mendocino",2009,363.923466400299,362.323162272809,365.523770527789,0.816496701017336,"X","cog"
